,posts,token
102,#情侣同居房租该不该AA制#这个问题有点复杂，分为理论和情感两方面。【理论】AA制是没有毛病的，因为并不是所有的东西都必须要男方去买账，而女方就要一味的去享受着男方带给她的便利，爱情是相互的，女方在享受着男方给自己带来的便利的时候，也应该给对方带来一定的付出回应，大家都是普通人，收入暂 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 这个 问题 有点 复杂   分为 理论 和 情感 两方 方面    理论  AA 制 是 没有 毛病 的   因为 并 不是 所有 的 东西 西都 必须 须要 男方 去 买账   而 女方 就要 一味 的 去 享受 着 男方 带给 她 的 便利   爱情 是 相互 的   女方 在 享受 着 男方 给 自己 带来 的 便利 的 时候   也 应该 给 对方 带来 一定 的 付出 回应   大家 都 是 普通 普通人 通人   收入 暂      全文
103,"#情侣同居房租该不该AA制#情侣之间的事其实属于家务事，也是俩人之间的隐私，但恋爱的原则是男人大度，女人体贴，凡事都有绝对，但事件中男人事后给女孩要一半房租的行为确实不妥，换句话讲就是没担当！

有不少家庭都是男人主外，女人主内，甚至女方不工作，直接带孩子，如果老公突然给毫无经济收入的 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 之间 的 事 其实 实属 属于 于家务 家务 家务事   也 是 俩 人 之间 的 隐私   但 恋爱 的 原则 是 男人 人大 大度   女人 女人体 人体 体贴   凡事 都 有 绝对   但 事件 中男 男人 人事 事后 给 女孩 要 一半 房租 的 行为 确实 不妥   换句 换句话 讲 就是 没 担当  

 有 不少 家庭 都 是 男人 人主 主外   女人 人主 内   甚至 女方 不 工作   直接 带 孩子   如果 老公 突然 给 毫无 经济 收入 的      全文"
104,#情侣同居房租该不该AA制#不该，你爱他就好好对他……没能力不要同居，贫穷夫妻百日哀,# 情侣 同居 房租 该不该 不该 AA 制 # 不该   你 爱 他 就 好好 对 他    没能 能力 不要 要同 同居   贫穷 夫妻 百日 哀
105,#情侣同居房租该不该AA制#我去 天理难容啊！同居了陪你天天吃住在一起，过一段时间你又要房租！这男的有病吧！,# 情侣 同居 房租 该不该 不该 AA 制 # 我 去   天理 天理难容 难容 啊   同居 了 陪 你 天天 吃住 住在一起 一起   过 一段 一段时间 段时间 时间 你 又 要 房租   这 男 的 有 病 吧  
106,"#情侣同居房租该不该AA制#年轻时候也租过房子，有挺长一段时间，老婆的收入比我高，一直是她在负担房租，大约一年左右。后来，收入上来了，我才开始负担房租，再后来我们结了婚，同年我买了房子，婚后老婆就是全职太太了。。期间谁出钱几乎没有商量过。
想说的是，这点事都商量不好，还是不要想着谈婚 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 年轻 时候 也 租过 过房 房子   有 挺 长 一段 一段时间 段时间 时间   老婆 的 收入 比 我 高   一直 是 她 在 负担 房租   大约 一年 左右   后来   收入 上来 了   我 才 开始 负担 房租   再 后来 我们 结了婚   同年 我 买 了 房子   婚后 老婆 就是 全职 全职太太 太太 了    期间 谁 出钱 几乎 没有 商量 过  
 想 说 的 是   这点 事 都 商量 不好   还是 不要 想着 谈 婚      全文"
107,#情侣同居房租该不该AA制#情侣同居名义上找在一起生活的感觉，实际上是两个人未来婚姻生活的预演。现实中多数男人承担大头，比如房租水电物管费等，但也不乏铁公鸡型的男人。女人更多是一日三餐、生活用品之类的，若有出房租的，都是姐不差钱之类的。两个人在一起，不完全仅仅是生理上的需要，更多的是 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 同居 名义 上 找 在 一起 生活 的 感觉   实际 实际上 是 两个 个人 未来 婚姻 婚姻生活 生活 的 预演   现实 中 多数 男人 承担 大头   比如 房租 水电 物管费 等   但 也 不乏 铁公鸡 公鸡 型 的 男人   女人 更多 是 一日 一日三餐 三餐   生活 生活用品 活用 用品 之类 的   若 有 出 房租 的   都 是 姐 不 差钱 之类 的   两个 个人 在 一起   不 完全 仅仅 是 生理 理上 的 需要   更多 的 是      全文
108,"#情侣同居房租该不该AA制#根据年轻人的收入和两者的金钱观有关，我认为双方都能接受的情况下可以AA, 毕竟大家都没结婚，收入有限，各自分担一些也很好。",# 情侣 同居 房租 该不该 不该 AA 制 # 根据 年轻 年轻人 的 收入 和 两者 的 金钱 金钱观 有关   我 认为 双方 都 能 接受 的 情况 下 可以 AA   毕竟 大家 都 没 结婚   收入 有限   各自 自分 分担 一些 也 很 好  
109,#情侣同居房租该不该AA制#开房钱是男的出还是女的出？这问题答案就出来了！,# 情侣 同居 房租 该不该 不该 AA 制 # 开房 房钱 是 男 的 出 还是 女 的 出   这 问题 答案 就 出来 了  
110,"#情侣同居房租该不该AA制#情侣租房AA制，这还是情侣吗？！当然，情侣就是想玩玩，相互炮友，玩腻了就分开，不在此列！

在老司机看来，情侣租房，男人应该勇敢的站出来，承担起房租。否则，这样的男人就在其说出AA制的时候，女方第一时间踹他一脚，直接再见！","# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 租房 AA 制   这 还是 情侣 吗    当然   情侣 就是 想 玩玩   相互 炮 友   玩腻 了 就 分开   不在 不在此列  

 在 老 司机 看来   情侣 租房   男人 应该 勇敢 的 站出 出来   承担 担起 房租   否则   这样 的 男人 就 在 其 说出 AA 制 的 时候   女方 第一 一时 一时间 时间 踹 他 一脚   直接 再见  "
111,#情侣同居房租该不该aa制# 问题避重就轻；同居的情感、安全系列问题远比房租是否分摊要重要的多，要敏感的多；可以体现平等的的地方多了去了，为什么对此却煞有介事#社会科学##兴趣话题词##小三劝退师的日常# 昆明,# 情侣 同居 房租 该不该 不该 aa 制 #  问题 避重就轻   同居 的 情感   安全 全系列 系列 问题 远 比 房租 是否 分摊 要 重要 的 多   要 敏感 的 多   可以 体现 平等 的 的 地方 多 了 去 了   为什么 什么 对此 却 煞有介事 # 社会 社会科学 科学 ## 兴趣 趣话 话题 题词 ## 小三 劝退 师 的 日常 #  昆明
112,"#情侣同居房租该不该AA制#
俩人都认同就可以啊。
无论是AA，还是一方出，这都不是问题。
问题是，提前都商量好。
不要默认对方知道你的想法。","# 情侣 同居 房租 该不该 不该 AA 制 #
 俩 人 都 认同 就 可以 啊  
 无论 无论是 AA  还是 一方 出   这 都 不是 问题  
 问题 是   提前 都 商量 好  
 不要 默认 对方 方知 知道 你 的 想法  "
113,#情侣同居房租该不该AA制#这事也值得讨论？太没劲了,# 情侣 同居 房租 该不该 不该 AA 制 # 这事 也 值得 讨论   太 没劲 了
114,"#情侣同居房租该不该AA制#中国的传统两个人过日子就是要共同承担一些义务和责任！在复杂的生活中不是什么东西都可以分的很清的！AA制不过是个“舶来品”，有的人利用的好了，相对和谐。有的人用的不好反而两个人分心，适得其反！
情侣同居本来和婚姻生活性质差不多，至于是否AA制都不应该是两个人好好 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 中国 的 传统 两个 个人 过日子 日子 就是 要 共同 承担 一些 义务 和 责任   在 复杂 的 生活 中 不是 什么 东西 西都 可以 分 的 很 清 的  AA 制 不过 是 个   舶来品    有 的 人 利用 的 好 了   相对 和谐   有 的 人 用 的 不好 反而 两个 个人 分心   适得其反  
 情侣 同居 本来 和 婚姻 婚姻生活 生活 活性 性质 差不多 不多   至于 于是 是否 AA 制 都 不应 应该 该是 两个 个人 好好      全文"
115,"#情侣同居房租该不该AA制#
我朋友爸妈就是AA的呀，二十多年了。当然不是特别死板的AA，基本上是开一个账户，每年年底双方各拿出一笔钱，存在里面，用作来年孩子的开支，或是用来买大件，旅游之类的。其余的就是自己花自己的。他爸妈感情也挺好，。平日里谁也不过问谁买了什么。他爸喜欢炒股，他妈平 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #
 我 朋友 爸妈 就是 AA 的 呀   二十 二十多 二十多年 十多 十多年 多年 了   当然 不是 特别 死板 的 AA  基本 基本上 是 开 一个 账户   每年 年底 双方 各 拿出 一笔 钱   存在 里面   用作 来年 孩子 的 开支   或是 用来 买 大件   旅游 之类 的   其余 的 就是 自己 花 自己 的   他 爸妈 感情 也 挺 好    平日 里 谁 也 不过 过问 谁 买 了 什么   他 爸 喜欢 炒股   他 妈 平      全文"
116,#情侣同居房租该不该AA制#，你怎么选？ 贵州头条排行榜的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 #  你 怎么 选    贵州 头条 排行 排行榜 的 微 博 投票
117,"#情侣同居房租该不该AA制#
男方一般不会让女方出的，但是我还是觉得女方可以出，我们是谈恋爱不是为了找个省房租的男人对吧。
结婚后怎么都行，婚前还是AA好一点，这样可以避免以后出现很多和钱有关的争吵。
大家钱都不是大风刮来的。","# 情侣 同居 房租 该不该 不该 AA 制 #
 男方 一般 不会 让 女方 出 的   但是 我 还是 觉得 女方 方可 可以 出   我们 是 谈恋爱 恋爱 不是 为了 找 个 省 房租 的 男人 对 吧  
 结婚 婚后 怎么 都行   婚前 还是 AA 好 一点   这样 可以 避免 以后 出现 很多 和 钱 有关 的 争吵  
 大家 钱 都 不是 大风 刮 来 的  "
118,#情侣同居房租该不该AA制#我个人非常讨厌AA制，虽说男女平等，但分工不同。作为男人就该给你的女人花钱，这是最基本的责任。什么都要AA制，生孩子的痛苦你能AA吗？当然如果婚后工资上交，那就是另外一回事了。在花钱的问题上，男人跟自己的女人计较，那还找对象结婚干啥，跟做生意一样精打细算，不如花 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 我 个人 非常 讨厌 AA 制   虽说 男女 男女平等 平等   但 分工 不同   作为 男人 就 该 给 你 的 女人 花钱   这 是 最 基本 的 责任   什么 都 要 AA 制   生 孩子 的 痛苦 你 能 AA 吗   当然 如果 婚后 工资 上交   那 就是 另外 一回 回事 了   在 花钱 的 问题 上   男人 跟 自己 的 女人 计较   那 还 找对象 对象 结婚 干 啥   跟 做生意 生意 一样 精打细算 细算   不如 花      全文
119,"#情侣同居房租该不该AA制# 说白了，AA制确实没有家的味道，两个人同居的目的，不就是要找到一种家的感觉吗！
如果双方都没有信任感，这种家的感觉也就不存在了！
我认为这种事儿听别人的没用，还是双方敞开心扉，去设计两个人美好的未来吧！","# 情侣 同居 房租 该不该 不该 AA 制 #  说白 说白了  AA 制 确实 没有 家 的 味道   两个 个人 同居 的 目的   不 就是 要 找到 一种 家 的 感觉 吗  
 如果 双方 都 没有 信任 信任感   这种 家 的 感觉 也 就 不存 存在 了  
 我 认为 这种 事儿 听 别人 的 没用   还是 双方 敞开 开心 心扉   去 设计 两个 个人 美好 的 未来 吧  "
120,#情侣同居房租该不该AA制# 这样的男人，立马踹了！,# 情侣 同居 房租 该不该 不该 AA 制 #  这样 的 男人   立马 踹 了  
121,#情侣同居房租该不该AA制# 谁无聊想出这种话题？二个人在一起过日子房租还有AA制的吗？那这种就不是情侣了，是合租户。房租应该男方付，如果连房租都要女方一起付还有什么资格配找对象？,# 情侣 同居 房租 该不该 不该 AA 制 #  谁 无聊 想出 这种 话题   二个 个人 在 一起 过日子 日子 子房 房租 还有 AA 制 的 吗   那 这种 就 不是 情侣 了   是 合租 租户   房租 应该 男方 付   如果 连 房租 都 要 女方 一起 付 还有 什么 资格 配 找对象 对象  
122,#情侣同居房租该不该AA制# 你们觉得呢？ 搞笑猎奇菌的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 #  你们 觉得 呢    搞笑 猎奇 菌 的 微 博 投票
123,"#情侣同居房租该不该AA制#
如果是女方提出 AA那就没什么问题
但是如果男方提出AA，估计就有大问题了 钱笑的微博投票","# 情侣 同居 房租 该不该 不该 AA 制 #
 如果 是 女方 提出  AA 那 就 没什么 什么 问题 
 但是 如果 男方 提出 AA  估计 就 有 大 问题 了   钱 笑 的 微 博 投票"
124,#情侣同居房租该不该AA制#看情况吧，个人能力不一样,# 情侣 同居 房租 该不该 不该 AA 制 # 看 情况 吧   个人 能力 不一 一样
125,#情侣同居房租该不该AA制#感觉这个男生有点过分了，要A就全A。要么就别A。,# 情侣 同居 房租 该不该 不该 AA 制 # 感觉 这个 男生 有点 点过 过分 了   要 A 就 全 A  要么 就 别 A 
126,#情侣同居房租该不该AA制#既然选择同居了，一般来说都是决定一起过日子了，如果没有决定一起过日子，最好别同居。如果同居了，最好AA制，但是没必要算的太清楚。,# 情侣 同居 房租 该不该 不该 AA 制 # 既然 选择 同居 了   一般 一般来说 来说 都 是 决定 一起 过日子 日子 了   如果 没有 决定 一起 过日子 日子   最好 别 同居   如果 同居 了   最好 AA 制   但是 没 必要 算 的 太 清楚  
127,"#情侣同居房租该不该AA制#

不0同！不支持！
如果一定要分你我，就别同居，直接分手吧","# 情侣 同居 房租 该不该 不该 AA 制 #

 不 0 同   不支 支持  
 如果 一定 定要 分 你 我   就 别 同居   直接 分手 吧"
128,"#情侣同居房租该不该AA制#这事儿没有对错，也没有标准答案。但我支持男方应该承担房租，从当前社会的结构来看。
生活不可能分的一清二楚，倘若情侣之间也这样，就显得生分，何况女方也付出了很多，男方这得有多厚的脸皮才能开这个口要房租？","# 情侣 同居 房租 该不该 不该 AA 制 # 这事 事儿 没有 对错   也 没有 标准 标准答案 答案   但 我 支持 男方 应该 承担 房租   从 当前 社会 的 结构 来看  
 生活 不可 可能 分 的 一清二楚   倘若 情侣 之间 也 这样   就 显得 生分   何况 女方 也 付出 了 很多   男方 这 得有 多 厚 的 脸皮 才能 能开 这个 口 要 房租  "
129,#每日金句# 爱默生：生活的乐趣取决于生活本身，而不是取决于工作或地点。 #情侣同居房租该不该AA制#,# 每日 金 句 #  爱默生   生活 的 乐趣 取决 取决于 生活 本身   而 不是 取决 取决于 工作 或 地点   # 情侣 同居 房租 该不该 不该 AA 制 #
130,#情侣同居房租该不该AA制#只要没有讨论到结婚，没有登记，房租就应该AA制。现在经常出现一些极端事件，常常因为女孩子花了男孩子的钱，又不肯结婚，男孩子在人财两空的情况下顿起杀机。女孩子若不想和男孩子结婚，最好在经济上各自独立。,# 情侣 同居 房租 该不该 不该 AA 制 # 只要 没有 讨论 论到 结婚   没有 登记   房租 就 应该 AA 制   现在 经常 经常出现 出现 一些 极端 事件   常常 常因 因为 女孩 女孩子 孩子 子花 了 男孩 男孩子 孩子 的 钱   又 不肯 结婚   男孩 男孩子 孩子 在 人财两空 的 情况 下顿 顿起 杀机   女孩 女孩子 孩子 若 不想 和 男孩 男孩子 孩子 结婚   最好 在经济上 经济 上 各自 独立  
131,#情侣同居房租该不该AA制#我建议AA制吧！我有个朋友和他女朋友在一起六年，年底结婚，他们房租一直都是AA制，平时日常开销他们双方也差不多，他的钱是他的，她的钱是她的，他们纯谈感情，没有因为经济原因吵架，两人互不相欠。对于AA制，建议男人要稍微大度一些，尽量不要跟女人提这个，而女人最好主动 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 我 建议 AA 制 吧   我 有 个 朋友 和 他 女朋友 朋友 在 一起 六年   年底 结婚   他们 房租 一直 都 是 AA 制   平时 时日 日常 开销 他们 双方 也 差不多 不多   他 的 钱 是 他 的   她 的 钱 是 她 的   他们 纯 谈 感情   没有 因为 经济 原因 吵架   两 人 互不 相 欠   对于 AA 制   建议 男人 要 稍微 大度 一些   尽量 不要 跟 女人 提 这个   而 女人 最好 主动      全文
132,#情侣同居房租该不该AA制#当然要AA啊，不然难道要让女生独自付房租嘛？那样女生压力很大的，而且一点也不平权,# 情侣 同居 房租 该不该 不该 AA 制 # 当然 要 AA 啊   不然 难道 要 让 女生 独自 自付 房租 嘛   那样 女生 压力 很大 的   而且 一点 也 不平 平权
133,"#情侣同居房租该不该AA制#关于这个问题，每个人都有自己不同的立场，没有绝对的评判标准。觉得根本还是遵从自己的内心吧，这是双方价值观的问题，实际情况还是得双方沟通去解决。

切记，爱既不能成为金钱的附属，金钱也不能用来绑架爱情，如果认定了ta要一辈子走下去，不妨跟随自己的真心来，多些理解 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 关于 这个 问题   每个 个人 都 有 自己 不同 的 立场   没有 绝对 的 评判 标准   觉得 根本 还是 遵从 自己 的 内心 吧   这 是 双方 价值 价值观 的 问题   实际 情况 还是 得 双方 沟通 通去 解决  

 切记   爱 既 不能 能成 成为 金钱 的 附属   金钱 也 不能 能用 用来 绑架 爱情   如果 认定 了 ta 要 一辈 一辈子 辈子 走下 下去   不妨 跟随 自己 的 真心 来   多些 理解      全文"
134,#情侣同居房租该不该AA制#不是抱一抱，亲一亲，改个情侣网名，换个情侣头像，就是情侣了。 真正的情侣是一同经历好多坎坷，还依旧说爱你的人。(*￣m￣)所以说，单身有单身的骄傲，情侣有情侣的炫耀。#沈阳身边事#利哥超话 沈阳老寡头的微博视频,# 情侣 同居 房租 该不该 不该 AA 制 # 不是 抱 一 抱   亲 一 亲   改 个 情侣 网名   换 个 情侣 头像   就是 情侣 了    真正 的 情侣 是 一同 经历 好多 坎坷   还 依旧 说 爱 你 的 人     m   所以 说   单身 有 单身 的 骄傲   情侣 有情 情侣 的 炫耀  # 沈阳 身边 事 # 利 哥 超 话   沈阳 老 寡头 的 微 博 视频
135,#情侣同居房租该不该AA制#这是赤裸裸地破坏情侣感情啊！房租该不该AA？吃饭该不该AA？厕纸该不该AA？@杜蕾斯官方微博 该不该AA？,# 情侣 同居 房租 该不该 不该 AA 制 # 这 是 赤裸 赤裸裸 地 破坏 情侣 感情 啊   房租 该不该 不该 AA  吃饭 该不该 不该 AA  厕 纸 该不该 不该 AA   杜蕾斯 官方 微 博   该不该 不该 AA 
136,#情侣同居房租该不该AA制#我个人非常讨厌AA制，虽说男女平等，但分工不同。作为男人就该给你的女人花钱，这是最基本的责任。什么都要AA制，生孩子的痛苦你能AA吗？当然如果婚后工资上交，那就是另外一回事了。在花钱的问题上，男人跟自己的女人计较，那还找对象结婚干啥，跟做生意一样精打细算，不如花 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 我 个人 非常 讨厌 AA 制   虽说 男女 男女平等 平等   但 分工 不同   作为 男人 就 该 给 你 的 女人 花钱   这 是 最 基本 的 责任   什么 都 要 AA 制   生 孩子 的 痛苦 你 能 AA 吗   当然 如果 婚后 工资 上交   那 就是 另外 一回 回事 了   在 花钱 的 问题 上   男人 跟 自己 的 女人 计较   那 还 找对象 对象 结婚 干 啥   跟 做生意 生意 一样 精打细算 细算   不如 花      全文
137,#情侣同居房租该不该AA制#很智障的问题，虽说男女平等，但终究还是女生吃亏的多，比如xx不小心怀孕，责任算谁？很多男人拍拍屁股走人，太多类似发生，女生就不能自爱一点？八字没一撇就同居，能不能走到最后先不说，找一个连房租都不愿付的男人，你图个啥？还AA付房租→_→。看到这话题真是笑掉大牙， ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 很 智障 的 问题   虽说 男女 男女平等 平等   但 终究 还是 女生 吃亏 的 多   比如 xx 不小 小心 心怀 怀孕   责任 算 谁   很多 男人 拍拍 屁股 走人   太多 多类 类似 发生   女生 生就 不能 自爱 一点   八字 八字没一撇 一撇 就 同居   能 不能 走到 最后 先 不 说   找 一个 连 房租 都 不 愿 付 的 男人   你 图 个 啥   还 AA 付 房租      看到 这话 话题 真是 笑掉大牙 大牙       全文
138,#一定要去大城市打拼吗#年轻时到大城市去打拼，老了到小城市生活。#随手拍##情侣同居房租该不该AA制##心灵鸡汤##生活百科# 乌鲁木齐·格林威治城,# 一定 定要 去 大城 大城市 城市 打拼 吗 # 年轻 时 到 大城 大城市 城市 去 打拼   老 了 到 小城 城市 生活  # 随手 拍 ## 情侣 同居 房租 该不该 不该 AA 制 ## 心灵 心灵鸡汤 鸡汤 ## 生活 百科 #  乌鲁木齐   格林 格林威治 城
139,"#情侣同居房租该不该AA制#
杨丽萍为了舞蹈复出了很多，更是将指甲留到了五厘米左右，杨丽萍的舞蹈精髓所在，一部分就在指甲上。但是久而久之，杨丽萍在生活还是出现了许多不适的地方
因此基本可以说是“生活不能自理”，为此她身边还有一位照顾她衣食住行的男助理，很多事情都是借助他的手来完成的，据 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #
 杨丽萍 为了 舞蹈 复出 了 很多   更是 将 指甲 留到 了 五 厘米 米左右 左右   杨丽萍 的 舞蹈 精髓 所在   一部 一部分 部分 就 在 指甲 上   但是 久而久之 久之   杨丽萍 在 生活 还是 出现 了 许多 不适 的 地方 
 因此 基本 可以 说 是   生活 不能 自理    为此 她 身边 还有 一位 照顾 她 衣食 衣食住行 的 男 助理   很多 事情 都 是 借助 他 的 手 来 完成 的   据      全文"
140,#情侣同居房租该不该AA制#我觉得不应该AA，都到了同居的份上了，干嘛还要这么在意呢？情侣之间是分不清那么多的，只要大家都有默契一点，如果这个月房租他付了，你可以在日常生活多为他分担一点。同居就是为了以后过的更顺利一点，如果一开始就牵扯的那么清，那么婚后的生活也许就“财务独立”了。相爱 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 我 觉得 不应 应该 AA  都 到 了 同居 的 份 上 了   干嘛 还要 这么 在意 呢   情侣 之间 是 分不清 那么 多 的   只要 大家 都 有 默契 一点   如果 这个 月 房租 他 付 了   你 可以 在 日常 日常生活 常生 生活 多 为 他 分担 一点   同居 就是 为了 以后 过 的 更 顺利 一点   如果 一开 开始 就 牵扯 的 那么 清   那么 婚后 的 生活 也许 就   财务 独立   了   相爱      全文
141,#情侣同居房租该不该AA制#国人老是觉得AA制特见外不贴心，朋友之间吃个饭都很少AA制，更何况是同居在一起的情侣呢？换个角度，如果设立一个公共账户，同居情侣各拿一定钱存进来，用公共账户去支付生活费用和房租，这样女方就不会觉得很伤心，其实这和AA制有啥区别呢？ 太原·富力城,# 情侣 同居 房租 该不该 不该 AA 制 # 国人 老 是 觉得 AA 制 特 见外 不 贴心   朋友 之间 吃 个 饭 都 很少 AA 制   更何况 何况 是 同居 在 一起 的 情侣 呢   换 个 角度   如果 设立 一个 公共 账户   同居 情侣 各 拿 一定 钱 存 进来   用 公共 账户 去 支付 生活 生活费 生活费用 费用 和 房租   这样 女方 就 不会 觉得 很 伤心   其实 这 和 AA 制 有 啥 区别 呢    太原   富 力 城
142,#情侣同居房租该不该AA制#一句话：有钱了啥都不需要AA，没钱了AA、AAA、AAAA都会有！,# 情侣 同居 房租 该不该 不该 AA 制 # 一句 话   有钱 了 啥 都 不 需要 AA  没钱 了 AA AAA AAAA 都 会 有  
143,你r干啥呢？//@牧心1023:我跟男朋友一起，住他已经买好装修的房子，水电煤气全部是他，家里的各类用品（洗衣液，沐浴露，洗发水，纸巾等等之类的）全部是他，白天上班，早中饭自己解决，晚餐出去吃大部分时候是他买单，偶尔在家里做，也是他买菜多，他做的多。如果是他做饭，他就说不想洗碗，放着吧先,你 r 干 啥 呢      牧 心 1023  我 跟 男朋友 朋友 一起   住 他 已经 买好 装修 的 房子   水电 煤气 全部 是 他   家里 的 各类 用品   洗衣 液   沐浴 沐浴露   洗发 洗发水 发水   纸巾 等等 之类 的   全部 是 他   白天 天上 上班   早 中饭 自己 解决   晚餐 出去 吃 大部 大部分 部分 分时 时候 是 他 买单   偶尔 在家 家里 做   也 是 他 买菜 多   他 做 的 多   如果 是 他 做饭   他 就 说 不想 洗碗   放 着 吧 先
144,长公子邀请你一起吃饭，有鸡腿的那种噢#帅哥##情侣同居房租该不该AA制# 时尚天使大总管的微博视频,长 公子 邀请 你 一起 吃饭   有 鸡腿 的 那种 噢 # 帅哥 ## 情侣 同居 房租 该不该 不该 AA 制 #  时尚 天使 大 总管 的 微 博 视频
145,"#情侣同居房租该不该AA制#
我认为一定要AA，但是应该在同居之前就说清楚。房租，水电，伙食费全都理清楚。真的很奇怪，现在很多女生一边说着男女平等，一边又总是认为男生就应该多付出。大概问题中的男生错的地方是在于没有在一开始说清楚房租AA的问题吧。但也许他忽然提出这样的要求是因为他的钱负担 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #
 我 认为 一定 定要 AA  但是 应该 在 同居 之前 就 说 清楚   房租   水电   伙食 伙食费 全都 理清 清楚   真的 很 奇怪   现在 很多 女生 一边 说 着 男女 男女平等 平等   一边 又 总是 认为 男生 生就 应该 多付 付出   大概 问题 中 的 男生 错 的 地方 是 在于 没有 在 一开 开始 说 清楚 房租 AA 的 问题 吧   但 也许 他 忽然 提出 这样 的 要求 是因为 因为 他 的 钱 负担      全文"
146,#情侣同居房租该不该AA制#两个年轻人在一起同居，必然感情会很好，否则也不会一块生活，至于房租是否AA制，要看两人的经济状况，多一些少一些也没有关系！也许在国外AA制比较普通，然而国内还不被大多数接受！,# 情侣 同居 房租 该不该 不该 AA 制 # 两个 年轻 年轻人 在 一起 同居   必然 感情 会 很 好   否则 也 不会 一块 生活   至于 房租 是否 AA 制   要 看 两 人 的 经济 状况   多一些 一些 少 一些 也 没有 有关 关系   也许 在 国外 AA 制 比较 普通   然而 国内 还 不 被 大多 大多数 多数 接受  
147,#情侣同居房租该不该AA制#现在婚前同居的情侣特别的多，不过有些刚进入社会的情侣，可能两人条件都不是很好，这时候同居的话房租要怎么算呢？下面来给大家分析下吧。这不是该不该的问题，而是相处方式的问题！情侣在一起生活，很多事情是没有办法去平衡的，房租、水电等明眼可见的东西，你说A可以，但 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 现在 婚前 同居 的 情侣 特别 别的 多   不过 有些 刚 进入 入社 社会 的 情侣   可能 两 人 条件 都 不是 很 好   这时 这时候 时候 同居 的话 房租 要 怎么 算 呢   下面 来 给 大家 分析 下 吧   这 不是 该不该 不该 的 问题   而是 相处 处方 方式 的 问题   情侣 在 一起 生活   很多 事情 是 没有 办法 去 平衡 的   房租   水电 等 明眼 可见 的 东西   你 说 A 可以   但      全文
148,#情侣同居房租该不该AA制#爱情本来美好的。个人意见不应该分那么清楚。但是情侣也自觉自爱。需要付出的不管是什么。就不能想着回报。希望天下有情人终成眷属（视频来源于网络侵删） 群雄杀神的微博视频,# 情侣 同居 房租 该不该 不该 AA 制 # 爱情 本来 美好 的   个人 人意 意见 不应 应该 分 那么 清楚   但是 情侣 也 自觉 自爱   需要 要付 付出 的 不管 是 什么   就 不能 想着 回报   希望 天下 下有 有情 有情人 有情人终 有情人终成眷属 情人 终成 终成眷属 眷属   视频 来源 来源于 源于 网络 侵 删    群雄 杀 神 的 微 博 视频
149,#情侣同居房租该不该AA制#情侣同居租房，房租该怎么付？ 运城身边事的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 同居 租房   房租 该 怎么 付    运城 身边 事 的 微 博 投票
150,#情侣同居房租该不该AA制#情侣钱好像放一起管的，谁有就花谁的，要旗鼓相当，別tm的一个失业一个累死累活干,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 钱 好像 放 一起 管 的   谁 有 就 花 谁 的   要 旗鼓 旗鼓相当 相当   別 tm 的 一个 失业 一个 累死 累死累活 累活 干
151,#情侣同居房租该不该AA制# 暴走趣闻的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 #  暴走 趣闻 的 微 博 投票
152,#情侣同居房租该不该AA制#如果房租AA了，那水电气费要不要AA？一日三餐要不要AA？套儿钱要不要AA？,# 情侣 同居 房租 该不该 不该 AA 制 # 如果 房租 AA 了   那 水电 电气 费 要 不要 AA  一日 一日三餐 三餐 要 不要 AA  套儿 钱 要 不要 AA 
153,#情侣同居房租该不该AA制#不好说,# 情侣 同居 房租 该不该 不该 AA 制 # 不好 说
154,"#情侣同居房租该不该AA制#
俩人商量呗 别觉得自己“特别付出”就行
要一个人愿意就满足TA 别事后反悔就行
这事儿讨论起来 不还是后来后悔了向找补一下...
俩人能商量好就行了 哪有该不该 广州·官洲","# 情侣 同居 房租 该不该 不该 AA 制 #
 俩 人商 商量 呗   别 觉得 自己   特别 付出   就 行 
 要 一个 个人 人愿 愿意 就 满足 TA  别 事后 反悔 就 行 
 这事 事儿 讨论 论起 起来   不 还是 后来 后悔 了 向 找补 一下    
 俩 人 能 商量 好 就行了   哪 有 该不该 不该   广州   官 洲"
